차 이름,연식,키로수,가격
기아 더 뉴 K5 LPI 럭셔리,14/07식(15년형),"147,100km",590
벤츠 GLE-클래스 W167 GLE350e 4MATIC 쿠페,22/05식,"25,000km","8,922"
도요타 시에나 4세대 2.5 하이브리드 2WD,22/06식,"19,350km","2,644"
현대 아이오닉 일렉트릭 I,17/10식(18년형),"154,871km","1,000"
테슬라 모델 3 퍼포먼스,22/06식,"19,300km","5,650"
현대 LF 쏘나타 하이브리드 2.0 플러그인 HEV 익스클루시브,15/12식(16년형),"129,000km","1,700"
BMW 7시리즈 (G70) 750e xDrive M 스포츠,24/01식,"6,000km","13,448"
기아 쏘렌토 4세대 HEV 1.6 2WD 노블레스,22/05식,"25,000km","9,999"
테슬라 모델 Y RWD,23/10식(24년형),"13,500km","4,950"
현대 그랜저 하이브리드 (GN7) 캘리그래피,23/06식,"18,000km","4,233"
기아 쏘렌토 4세대 HEV 1.6 4WD 그래비티,22/04식,"35,000km","4,500"
도요타 시에나 4세대 2.5 하이브리드 2WD,23/01식,"7,425km","5,899"
테슬라 모델 3 롱 레인지,21/08식,"76,000km","4,267"
현대 쏘나타 하이브리드 2.0 모던,12/12식(13년형),"187,005km",430
기아 K8 하이브리드 시그니처 스페셜,23/11식(24년형),"14,000km","4,312"
쉐보레(GM대우) 뉴 다마스 5인승 코치 리빅,21/01식,"18,000km",890
혼다 어코드 10세대 2.0 하이브리드 투어링,21/03식,"57,000km","3,199"
아우디 Q4 e-트론 40 프리미엄 스포트백,22/09식,"18,000km","4,990"
BMW 3시리즈 (G20) 320e M 스포츠,22/04식,"28,692km","4,790"
테슬라 모델 Y RWD,23/12식(24년형),"3,582km","5,300"
벤츠 E-클래스 W213 E300e 4MATIC 익스클루시브,21/03식,"68,000km","6,000"
BMW 5시리즈 (G30) 530e M 스포츠,21/07식,"40,000km","5,900"
현대 NF 쏘나타 트랜스폼 LPG N20 프리미어,07/12식(08년형),"224,571km",220
현대 코나 일렉트릭 모던,18/12식(19년형),"86,000km","1,950"
르노코리아(삼성) 트위지 인텐스(2인승),17/12식(18년형),"6,657km",370
현대 더 뉴 그랜저 IG 하이브리드 프리미엄 초이스,22/07식(23년형),"41,300km","2,660"
렉서스 NX450h+ 2세대 F-Sport,22/08식(23년형),"35,000km","6,700"
현대 싼타페 (MX5) HEV 1.6 2WD 캘리그래피,23/12식(24년형),"2,800km","5,450"
렉서스 RX450h 4세대 슈프림 플러스,19/07식,11km,"4,500"
포르쉐 타이칸 4 크로스 투리스모,22/04식,"12,546km","13,450"
도요타 RAV4 5세대 2.5 4WD PHEV XSE,23/05식,"28,000km","5,150"
기아 더 뉴 기아 레이 EV 에어,23/10식(24년형),"1,935km","2,385"
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,19/03식,"98,600km","2,400"
기아 EV6 롱레인지 어스,23/03식,"17,000km","2,852"
기아 쏘울 EV EV,17/11식(18년형),"34,663km","1,300"
현대 LF 쏘나타 하이브리드 2.0 HEV 프리미엄 스페셜,17/05식,"109,000km","1,571"
기아 EV6 롱레인지 에어,23/03식,"13,000km","3,034"
기아 EV6 롱레인지 4WD GT Line,23/11식(24년형),"9,177km","4,500"
쉐보레(GM대우) 볼트(Volt) 1.5,18/06식,"120,000km","1,540"
렉서스 ES300h 7세대 이그제큐티브,20/07식,"136,650km","1,785"
기아 스포티지 5세대 하이브리드 프레스티지 2WD,22/06식,"19,820km","3,700"
아우디 e-트론 55 콰트로 스포트백,21/09식(22년형),"9,365km","7,000"
BMW 5시리즈 (G30) 530e M 스포츠,23/08식,"5,650km","6,500"
현대 아이오닉 일렉트릭 N,16/06식,"75,000km","1,420"
테슬라 모델 Y 롱 레인지,22/12식,"16,900km","6,605"
BMW iX xDrive40 퍼스트에디션,21/11식(22년형),"28,000km","8,700"
현대 아반떼 MD LPI M16 럭셔리,12/03식,"140,000km",565
기아 EV6 롱레인지 에어,21/11식(22년형),"51,500km","1,050"
벤츠 EQS V297 EQS53 AMG 4MATIC+,21/12식(22년형),"77,000km","14,100"
쉐보레(GM대우) 볼트(Volt) 1.5,18/12식,"60,000km","1,700"
현대 아반떼 하이브리드 HDeII 기본형,09/09식(10년형),"153,300km",390
